County,State,R0
Ashland,Ohio,0.7580000317029945
Clark,Ohio,0.6555487061452713
Delaware,Ohio,0.7114612715951095
Huron,Ohio,0.6695915413152489
Miami,Ohio,0.7176332989070469
Adams,Pennsylvania,0.6757536117920571
Berks,Pennsylvania,0.6580387055449719
Lackawanna,Pennsylvania,0.6823554699758184
York,Pennsylvania,0.6875610174308516
Lee,South Carolina,0.6972476985087296
Cheatham,Tennessee,0.6856140130005289
Robertson,Tennessee,0.707563264356589
Sumner,Tennessee,0.709011660788369
Lavaca,Texas,0.7177336952724628
McLennan,Texas,0.7448098536649975
Medina,Texas,0.707786180366339
Rusk,Texas,0.6979736181534796
Webb,Texas,0.687869412242165
Wichita,Texas,0.7271980860182753
Williamson,Texas,0.6761636410376611
Box Elder,Utah,0.7345908932184846
Cache,Utah,0.7223703213236615
Charles City,Virginia,0.7090343879030895
Richmond city,Virginia,0.6943042273959511
Benton,Washington,0.7009911881436939
Mercer,West Virginia,0.7406818125336482
Brown,Wisconsin,0.41551570175476404
La Crosse,Wisconsin,0.7435809227667575
Washington,Wisconsin,0.7294492177240358
Teton,Wyoming,0.7190638297679743
Chambers,Alabama,0.693661117280035
Mobile,Alabama,0.6693806562130523
Walker,Alabama,0.7169913135907107
Santa Cruz,Arizona,0.5997027818740456
Yavapai,Arizona,0.7158035245063993
Benton,Arkansas,0.7196619191116526
Boone,Arkansas,0.7425596120745209
Clark,Arkansas,0.7425590582793913
Craighead,Arkansas,0.691500456270552
Crittenden,Arkansas,0.6935999585718085
Grant,Arkansas,0.7332518038863619
Greene,Arkansas,0.5168767813848743
Independence,Arkansas,0.7415673815200386
Poinsett,Arkansas,0.6216969678679021
Polk,Arkansas,0.755422791745783
Pope,Arkansas,0.7091029196562444
Searcy,Arkansas,0.7645012611265314
Sebastian,Arkansas,0.7453861493186862
Sevier,Arkansas,0.7248372096412666
Van Buren,Arkansas,0.7405641756410765
Crowley,Colorado,691.4298501613287
Grand,Colorado,0.7776018399031419
Morgan,Colorado,0.5990972250172937
Tolland,Connecticut,0.6839464545991706
Windham,Connecticut,0.6763574723483785
Hernando,Florida,0.7256843973986417
Indian River,Florida,0.7183894617758713
Jackson,Florida,0.6435834382990191
Martin,Florida,0.7015584115169294
Bibb,Georgia,0.6608015173143279
Early,Georgia,0.700560806006462
